#FIELD: aquarius_u67203   PHOTOMETRY VERSION: phot-2.03
#REFERENCE POSITION (for DRA, DDEC):   311.720833  -12.847500 (J2000)
#ADOPTED GALAXY CENTER (for DRACEN, DDECCEN):   311.716248  -12.847500 (J2000)
#FLAG  f606w  E(f606w)  CROWD1  f814w  E(f814w)  CROWD2  CHIP  X  Y  DRA  DDEC  DRACEN  DDECCEN  RA(J2000)  DEC  
     0  23.892   0.046   0.007  23.190   0.073   0.080   1  561.63  715.91  -55.075  -74.075    -38.567    -74.075  20:46:49.33  -12:52:05.1
   353  23.863   0.142   0.000  99.999   0.000   0.000   1  489.01  625.73  -51.670  -70.049    -35.162    -70.049  20:46:49.56  -12:52:01.0
   227  99.999   0.000   0.000  22.178   0.180   0.000   1  332.93  756.42  -59.030  -64.283    -42.523    -64.283  20:46:49.06  -12:51:55.3
   227  99.999   0.000   0.000  22.688   0.121   0.000   1  487.82  182.17  -31.452  -65.965    -14.945    -65.965  20:46:50.90  -12:51:57.0
   355  23.936   0.156   0.000  99.999   0.000   0.000   1  723.88  512.73  -44.329  -79.444    -27.822    -79.444  20:46:50.04  -12:52:10.4
   227  99.999   0.000   0.000  22.816   0.135   0.006   1  355.81  468.33  -45.736  -62.687    -29.229    -62.687  20:46:49.95  -12:51:53.7
   227  99.999   0.000   0.000  22.744   0.125  -0.011   1  473.00  608.79  -51.049  -69.184    -34.542    -69.184  20:46:49.60  -12:52:00.2
   355  22.924   0.161   0.000  99.999   0.000   0.000   1  716.80  766.09  -55.864  -81.349    -39.356    -81.349  20:46:49.28  -12:52:12.3
   355  23.885   0.159   0.001  99.999   0.000   0.000   1  459.00  654.31  -53.247  -68.970    -36.740    -68.970  20:46:49.45  -12:51:60.0
   227  99.999   0.000   0.000  22.669   0.156   0.021   1  688.22  441.54  -41.420  -77.231    -24.913    -77.231  20:46:50.24  -12:52:08.2
   355  24.098   0.209   0.000  99.999   0.000   0.000   1   97.94  297.97  -40.350  -49.675    -23.843    -49.675  20:46:50.31  -12:51:40.7
   227  99.999   0.000   0.000  22.601   0.171   0.000   1  430.28  700.66  -55.615  -68.109    -39.108    -68.109  20:46:49.29  -12:51:59.1
   227  99.999   0.000   0.000  22.762   0.140   0.012   1  520.93  541.66  -47.544  -70.713    -31.037    -70.713  20:46:49.83  -12:52:01.7
    99  24.302   0.171   0.000  22.684   0.199   0.001   1  172.94  491.56  -48.482  -54.755    -31.975    -54.755  20:46:49.77  -12:51:45.8
   227  99.999   0.000   0.000  22.348   0.151   0.001   1  487.45  301.52  -36.892  -67.039    -20.385    -67.039  20:46:50.54  -12:51:58.0
   355  23.879   0.149   0.003  99.999   0.000   0.000   1   67.89  743.52  -60.828  -52.431    -44.320    -52.431  20:46:48.94  -12:51:43.4
   355  24.068   0.149   0.002  99.999   0.000   0.000   1  717.78  535.60  -45.427  -79.380    -28.919    -79.380  20:46:49.97  -12:52:10.4
   355  23.959   0.196   0.000  99.999   0.000   0.000   1  629.76  548.37  -46.831  -75.605    -30.324    -75.605  20:46:49.88  -12:52:06.6
   227  99.999   0.000   0.000  22.748   0.180   0.001   1  603.88  362.49  -38.597  -72.777    -22.090    -72.777  20:46:50.43  -12:52:03.8
   355  23.472   0.156   0.004  99.999   0.000   0.000   1  581.74  556.48  -47.651  -73.549    -31.144    -73.549  20:46:49.82  -12:52:04.5
   355  23.879   0.155   0.000  99.999   0.000   0.000   1  239.75   82.90  -29.256  -54.037    -12.749    -54.037  20:46:51.05  -12:51:45.0
   355  24.127   0.169   0.000  99.999   0.000   0.000   1  292.98  134.73  -31.105  -56.862    -14.598    -56.862  20:46:50.93  -12:51:47.9
   355  24.115   0.191   0.001  99.999   0.000   0.000   1  414.00  139.04  -30.175  -62.286    -13.668    -62.286  20:46:50.99  -12:51:53.3
   355  23.743   0.195   0.000  99.999   0.000   0.000   1  312.97  712.46  -57.231  -62.998    -40.724    -62.998  20:46:49.18  -12:51:54.0
   355  23.862   0.141   0.000  99.999   0.000   0.000   1  770.79  558.91  -45.989  -81.916    -29.482    -81.916  20:46:49.93  -12:52:12.9
   355  23.703   0.186   0.007  99.999   0.000   0.000   1  151.93  300.88  -39.982  -52.091    -23.475    -52.091  20:46:50.33  -12:51:43.1
   355  23.943   0.198   0.000  99.999   0.000   0.000   1  279.91  430.30  -44.702  -58.956    -28.195    -58.956  20:46:50.02  -12:51:50.0
   355  23.858   0.158   0.000  99.999   0.000   0.000   1  756.99  693.18  -52.197  -82.484    -35.690    -82.484  20:46:49.52  -12:52:13.5
   355  24.156   0.128   0.000  99.999   0.000   0.000   1  660.51  678.67  -52.456  -78.118    -35.949    -78.118  20:46:49.50  -12:52:09.1
   355  24.159   0.205   0.000  99.999   0.000   0.000   1  447.71  774.82  -58.799  -69.544    -42.292    -69.544  20:46:49.08  -12:52:00.5
   323  24.131   0.108   0.004  99.999   0.000   0.000   1  360.73  273.87  -36.806  -61.136    -20.298    -61.136  20:46:50.55  -12:51:52.1
   355  23.977   0.154   0.000  99.999   0.000   0.000   1  724.58  783.81  -56.584  -81.841    -40.077    -81.841  20:46:49.23  -12:52:12.8
   227  99.999   0.000   0.000  22.856   0.196   0.100   1  374.15  692.93  -55.785  -65.542    -39.278    -65.542  20:46:49.28  -12:51:56.5
   227  99.999   0.000   0.000  22.770   0.192   0.005   1  598.27  292.54  -35.459  -71.888    -18.952    -71.888  20:46:50.64  -12:52:02.9
